picture_id,mid_year,cluster_id,cluster_rank
8863,1892,29,1
8863,1892,30,2
8863,1892,81,3
8863,1892,95,4
8868,1830,46,1
8868,1830,4,2
8868,1830,3,3
8868,1830,28,4
8869,1852,22,1
8869,1852,65,2
8869,1852,97,3
8869,1852,26,4
335528,1853,59,1
335528,1853,3,2
335528,1853,27,3
335528,1853,80,4
335529,1867,45,1
335529,1867,99,2
335529,1867,52,3
335529,1867,79,4
335524,1865,81,1
335524,1865,101,2
335524,1865,55,3
335524,1865,61,4
335525,1852,81,1
335525,1852,55,2
335525,1852,101,3
335525,1852,61,4
335527,1856,60,1
335527,1856,27,2
335527,1856,58,3
335527,1856,57,4
335520,1856,59,1
335520,1856,71,2
335520,1856,3,3
335520,1856,27,4
335521,1870,108,1
335521,1870,53,2
335521,1870,55,3
335521,1870,19,4
335523,1865,55,1
335523,1865,61,2
335523,1865,81,3
335523,1865,5,4
18707,1860,74,1
18707,1860,31,2
18707,1860,12,3
18707,1860,19,4
19511,1913,7,1
19511,1913,61,2
19511,1913,5,3
19511,1913,74,4
28409,1855,61,1
28409,1855,74,2
28409,1855,91,3
28409,1855,107,4
28408,1855,99,1
28408,1855,104,2
28408,1855,8,3
28408,1855,107,4
28401,1898,1,1
28401,1898,107,2
28401,1898,72,3
28401,1898,79,4
28400,1898,4,1
28400,1898,109,2
28400,1898,46,3
28400,1898,55,4
28407,1898,45,1
28407,1898,38,2
28407,1898,107,3
28407,1898,108,4
28406,1898,45,1
28406,1898,108,2
28406,1898,107,3
28406,1898,55,4
28405,1897,45,1
28405,1897,12,2
28405,1897,64,3
28405,1897,107,4
28404,1899,19,1
28404,1899,107,2
28404,1899,27,3
28404,1899,11,4
11663,1913,66,1
11663,1913,7,2
11663,1913,95,3
11663,1913,5,4
11661,1912,66,1
11661,1912,45,2
11661,1912,3,3
11661,1912,7,4
23718,1860,81,1
23718,1860,69,2
23718,1860,1,3
23718,1860,103,4
23719,1865,101,1
23719,1865,43,2
23719,1865,1,3
23719,1865,69,4
23716,1865,60,1
23716,1865,13,2
23716,1865,79,3
23716,1865,10,4
23717,1839,25,1
23717,1839,34,2
23717,1839,57,3
23717,1839,67,4
23714,1835,58,1
23714,1835,2,2
23714,1835,27,3
23714,1835,26,4
23715,1862,38,1
23715,1862,62,2
23715,1862,91,3
23715,1862,74,4
23712,1865,16,1
23712,1865,55,2
23712,1865,8,3
23712,1865,64,4
23710,1859,81,1
23710,1859,55,2
23710,1859,89,3
23710,1859,65,4
23711,1864,16,1
23711,1864,38,2
23711,1864,57,3
23711,1864,107,4
27921,1844,30,1
27921,1844,2,2
27921,1844,107,3
27921,1844,13,4
27920,1845,72,1
27920,1845,74,2
27920,1845,26,3
27920,1845,107,4
27923,1853,81,1
27923,1853,107,2
27923,1853,99,3
27923,1853,34,4
27924,1853,50,1
27924,1853,8,2
27924,1853,55,3
27924,1853,107,4
27927,1842,55,1
27927,1842,107,2
27927,1842,81,3
27927,1842,104,4
20258,1888,29,1
20258,1888,109,2
20258,1888,28,3
20258,1888,39,4
20259,1890,109,1
20259,1890,72,2
20259,1890,58,3
20259,1890,31,4
100808,1842,75,1
100808,1842,97,2
100808,1842,11,3
100808,1842,61,4
303768,1834,36,1
303768,1834,53,2
303768,1834,99,3
303768,1834,3,4
339600,1797,99,1
339600,1797,104,2
339600,1797,11,3
339600,1797,45,4
20253,1897,1,1
20253,1897,69,2
20253,1897,43,3
20253,1897,107,4
2006849104,1845,76,1
2006849104,1845,69,2
2006849104,1845,84,3
2006849104,1845,43,4
20256,1874,12,1
20256,1874,99,2
20256,1874,58,3
20256,1874,2,4
20254,1890,34,1
20254,1890,39,2
20254,1890,74,3
20254,1890,50,4
101984,1867,49,1
101984,1867,94,2
101984,1867,83,3
101984,1867,80,4
101980,1884,12,1
101980,1884,38,2
101980,1884,67,3
101980,1884,30,4
101989,1880,32,1
101989,1880,96,2
101989,1880,72,3
101989,1880,10,4
6285,1889,54,1
6285,1889,34,2
6285,1889,63,3
6285,1889,50,4
23506,1813,47,1
23506,1813,5,2
23506,1813,64,3
23506,1813,55,4
23505,1810,39,1
23505,1810,85,2
23505,1810,84,3
23505,1810,26,4
11863,1883,88,1
11863,1883,27,2
11863,1883,60,3
11863,1883,37,4
2006895625,1850,82,1
2006895625,1850,74,2
2006895625,1850,80,3
2006895625,1850,61,4
2005481483,1883,78,1
2005481483,1883,6,2
2005481483,1883,81,3
2005481483,1883,57,4
342834,1810,59,1
342834,1810,75,2
342834,1810,8,3
342834,1810,73,4
342835,1785,56,1
342835,1785,97,2
342835,1785,73,3
342835,1785,11,4
317869,1836,59,1
317869,1836,49,2
317869,1836,72,3
317869,1836,26,4
317868,1829,3,1
317868,1829,65,2
317868,1829,9,3
317868,1829,18,4
317865,1836,109,1
317865,1836,40,2
317865,1836,29,3
317865,1836,30,4
317864,1843,67,1
317864,1843,83,2
317864,1843,78,3
317864,1843,98,4
317867,1844,43,1
317867,1844,68,2
317867,1844,108,3
317867,1844,79,4
317866,1863,42,1
317866,1863,27,2
317866,1863,60,3
317866,1863,89,4
317863,1863,83,1
317863,1863,69,2
317863,1863,60,3
317863,1863,91,4
317862,1848,83,1
317862,1848,14,2
317862,1848,5,3
317862,1848,12,4
4761,1835,23,1
4761,1835,60,2
4761,1835,86,3
4761,1835,63,4
4760,1832,60,1
4760,1832,32,2
4760,1832,13,3
4760,1832,0,4
4763,1835,4,1
4763,1835,109,2
4763,1835,83,3
4763,1835,60,4
4762,1835,55,1
4762,1835,109,2
4762,1835,104,3
4762,1835,60,4
4765,1834,105,1
4765,1834,96,2
4765,1834,35,3
4765,1834,50,4
4764,1829,67,1
4764,1829,37,2
4764,1829,0,3
4764,1829,7,4
4767,1793,88,1
4767,1793,105,2
4767,1793,51,3
4767,1793,0,4
4766,1793,83,1
4766,1793,105,2
4766,1793,26,3
4766,1793,31,4
4769,1795,41,1
4769,1795,70,2
4769,1795,27,3
4769,1795,10,4
4768,1794,41,1
4768,1794,86,2
4768,1794,83,3
4768,1794,26,4
333042,1857,20,1
333042,1857,28,2
333042,1857,80,3
333042,1857,4,4
102633,1834,35,1
102633,1834,14,2
102633,1834,72,3
102633,1834,59,4
10354,1818,73,1
10354,1818,17,2
10354,1818,68,3
10354,1818,95,4
10355,1818,17,1
10355,1818,73,2
10355,1818,68,3
10355,1818,95,4
10356,1825,68,1
10356,1825,17,2
10356,1825,56,3
10356,1825,95,4
10357,1827,72,1
10357,1827,15,2
10357,1827,11,3
10357,1827,39,4
10350,1848,71,1
10350,1848,59,2
10350,1848,68,3
10350,1848,69,4
10351,1832,47,1
10351,1832,1,2
10351,1832,27,3
10351,1832,17,4
10352,1820,17,1
10352,1820,73,2
10352,1820,61,3
10352,1820,95,4
10353,1820,73,1
10353,1820,17,2
10353,1820,36,3
10353,1820,61,4
320157,1810,19,1
320157,1810,80,2
320157,1810,11,3
320157,1810,44,4
320155,1820,9,1
320155,1820,80,2
320155,1820,99,3
320155,1820,104,4
320154,1817,99,1
320154,1817,3,2
320154,1817,80,3
320154,1817,68,4
10358,1827,65,1
10358,1827,84,2
10358,1827,71,3
10358,1827,90,4
10359,1827,65,1
10359,1827,84,2
10359,1827,94,3
10359,1827,8,4
320150,1789,36,1
320150,1789,26,2
320150,1789,105,3
320150,1789,84,4
833,1879,12,1
833,1879,96,2
833,1879,2,3
833,1879,26,4
836,1896,74,1
836,1896,2,2
836,1896,35,3
836,1896,72,4
834,1873,74,1
834,1873,2,2
834,1873,12,3
834,1873,63,4
835,1885,2,1
835,1885,25,2
835,1885,39,3
835,1885,50,4
839,1807,72,1
839,1807,26,2
839,1807,16,3
839,1807,99,4
317043,1793,2,1
317043,1793,5,2
317043,1793,72,3
317043,1793,98,4
317041,1785,25,1
317041,1785,61,2
317041,1785,2,3
317041,1785,95,4
317040,1795,25,1
317040,1795,50,2
317040,1795,61,3
317040,1795,2,4
11911,1909,66,1
11911,1909,16,2
